"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-10",,"60","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-11",,"67","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-12",,"68","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-13",,"72","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-14",,"76","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-15",,"79","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-16",,"75","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-17",,"78","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-18",,"82","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-19",,"86","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-20",,"76","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-21",,"79","58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-22",,"89","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-23",,"88","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-24",,"68","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-25",,"73","58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-26",,"86","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-27",,"81","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-28",,"69","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-29",,"51","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-30",,"51","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-31",,"70","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-01",,"76","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-02",,"75","62",
